ts_utc,open,high,low,close,volume,amount,source
1788063300,2457.09,2458.65,2457.09,2457.17,12.8394897,31553.272848565,kucoin_legacy
1788063600,2457.17,2457.18,2454.74,2455.05,49.575002,121751.516291516993,kucoin_legacy
1788063900,2455.49,2456.52,2455.49,2455.85,17.0637234,41905.586331067003,kucoin_legacy
1788064200,2455.84,2455.84,2454.52,2454.65,6.6269754,16268.82644026,kucoin_legacy
1788064500,2454.65,2456.04,2453.22,2453.46,81.5901239,200264.930871398014,kucoin_legacy
1788064800,2453.77,2455.44,2453.48,2453.69,68.20886446,167427.895504556596,kucoin_legacy
1788065100,2453.55,2454.24,2451.57,2452.66,27.9970293,68670.663498693,kucoin_legacy
1788065400,2452.56,2453.81,2452.45,2453.8,26.9827004,66187.443782053,kucoin_legacy
1788065700,2453.8,2455.3,2453.68,2455.3,25.277774,62051.181650243998,kucoin_legacy
1788066000,2455.85,2459.69,2455.75,2459.69,17.5318418,43095.789323484001,kucoin_legacy
1788066300,2459.94,2460,2457.34,2457.73,41.8644664,102928.738325917002,kucoin_legacy
1788066600,2457.74,2457.74,2457,2457.14,9.8125444,24114.230936895001,kucoin_legacy
1788066900,2457.02,2457.02,2455.87,2455.88,2.3714869,5826.263905751,kucoin_legacy
1788067200,2455.87,2455.88,2455.82,2455.82,8.1968194,20130.196188571001,kucoin_legacy
1788067500,2455.82,2455.88,2455.63,2455.86,15.5717467,38240.04738222,kucoin_legacy
1788067800,2455.86,2455.87,2455.53,2455.53,7.4623989,18325.369517063999,kucoin_legacy
1788068100,2455.63,2455.69,2455.14,2455.69,20.5148342,50375.229239216002,kucoin_legacy
1788068400,2455.94,2456.77,2455.77,2455.96,41.9183008,102954.497052471997,kucoin_legacy
1788068700,2455.9,2456.01,2455.55,2455.93,13.0789706,32120.471552431001,kucoin_legacy
1788069000,2455.92,2455.95,2455.15,2455.55,13.5121823,33181.722915865997,kucoin_legacy
1788069300,2455.54,2455.95,2455.54,2455.94,16.0992207,39534.092403246999,kucoin_legacy
1788069600,2455.95,2456.27,2454.76,2455.98,21.6015163,53036.587718816998,kucoin_legacy
1788069900,2455.98,2455.98,2455.14,2455.36,7.3607153,18074.308046728998,kucoin_legacy
1788070200,2455.36,2455.59,2455.26,2455.59,1.3217453,3245.250585766,kucoin_legacy
1788070500,2455.85,2456.64,2455.84,2456.54,1.057207,2596.772582242,kucoin_legacy
1788070800,2456.54,2457.52,2456.54,2457.51,3.1843141,7823.474896605,kucoin_legacy
1788071100,2457.52,2457.84,2456.52,2456.6,6.5003885,15975.473078096,kucoin_legacy
1788071400,2456.6,2457.05,2456.59,2457.05,6.0489224,14860.508777044,kucoin_legacy
1788071700,2457.17,2459.04,2457.16,2458.54,32.1599178,79040.279444779997,kucoin_legacy
1788072000,2458.58,2460.02,2458.09,2459.58,31.1299417,76551.797787192001,kucoin_legacy
1788072300,2459.54,2461.29,2459.18,2460.3,20.8214028,51229.643575827002,kucoin_legacy
1788072600,2460.08,2460.55,2459.11,2459.87,47.23006414,116179.343972520597,kucoin_legacy
1788072900,2459.87,2460.99,2459.66,2460.99,8.0711408,19853.590786998,kucoin_legacy
1788073200,2460.99,2461.27,2458.9,2459.12,13.4667339,33122.338932883002,kucoin_legacy
1788073500,2459.11,2459.12,2458.83,2458.83,1.7964112,4417.400792803,kucoin_legacy
1788073800,2458.84,2459.52,2458.77,2459.46,16.1589139,39735.745466891,kucoin_legacy
1788074100,2459.47,2459.47,2457.88,2458.01,25.728954,63261.928048918002,kucoin_legacy
1788074400,2458.01,2458.15,2457.68,2457.69,4.7683492,11719.549297194,kucoin_legacy
1788074700,2457.68,2457.99,2457.68,2457.97,31.3066613,76949.327995066997,kucoin_legacy
1788075000,2457.98,2458.57,2456.99,2457.01,32.6476029,80238.999273084002,kucoin_legacy
1788075300,2457.01,2458.86,2456.78,2456.81,45.3115414,111369.060924723002,kucoin_legacy
1788075600,2457.1,2457.12,2456.13,2456.15,25.9268766,63701.906779457,kucoin_legacy
1788075900,2456.14,2456.25,2454.83,2455.93,13.5347657,33231.271365744004,kucoin_legacy
1788076200,2456.04,2457.24,2455.97,2457.23,9.52123,23388.626680967001,kucoin_legacy
1788076500,2457.24,2457.24,2455.22,2455.23,29.9750793,73628.405113033994,kucoin_legacy
1788076800,2455.23,2457.42,2455.23,2457.42,15.5095622,38091.544126022003,kucoin_legacy
1788077100,2457.41,2458.74,2457.41,2458.64,3.7470675,9211.532030996999,kucoin_legacy
1788077400,2458.65,2458.72,2456.44,2456.45,23.1578203,56917.653353137997,kucoin_legacy
1788077700,2456.44,2459.19,2456.44,2459.19,49.264708,121084.348294291005,kucoin_legacy
1788078000,2459.19,2459.89,2457.44,2457.57,27.1970383,66875.738776290003,kucoin_legacy
1788078300,2458.03,2458.89,2458.03,2458.6,6.4701918,15904.751244511001,kucoin_legacy
1788078600,2458.59,2458.59,2457.88,2458.46,2.4405022,5999.646452825,kucoin_legacy
1788078900,2458.45,2458.45,2455.49,2455.5,21.9156463,53867.574476615002,kucoin_legacy
1788079200,2455.49,2455.96,2454.91,2455.95,35.2779693,86613.647028916996,kucoin_legacy
1788079500,2455.95,2455.96,2454.6,2455.47,34.4650737,84618.377535916996,kucoin_legacy
1788079800,2455.47,2455.59,2455.14,2455.58,2.47257,6071.167370853,kucoin_legacy
1788080100,2455.58,2456.99,2455.58,2456.78,22.0924004,54262.944056141001,kucoin_legacy
1788080400,2456.78,2457.48,2456.29,2457.48,3.2818074,8063.229557195,kucoin_legacy
1788080700,2457.48,2457.48,2456.58,2456.59,3.6377931,8938.294325281,kucoin_legacy
1788081000,2456.59,2457.02,2456.51,2456.95,4.4651919,10969.904275104,kucoin_legacy
1788081300,2456.95,2456.98,2456.04,2456.82,9.0736522,22293.170980015999,kucoin_legacy
1788081600,2456.82,2458.03,2454.63,2455.21,28.8228376,70786.038312784993,kucoin_legacy
1788081900,2455.21,2455.57,2453.23,2453.23,48.3175636,118612.490647632003,kucoin_legacy
1788082200,2453.58,2455.26,2453.58,2453.95,35.9097776,88139.492582431005,kucoin_legacy
1788082500,2453.96,2454.2,2452.65,2452.69,75.2865234,184708.218542685994,kucoin_legacy
1788082800,2452.7,2456.83,2451.99,2454.36,223.4249768,548519.36053708999,kucoin_legacy
1788083100,2454.38,2455.61,2453.12,2453.12,81.8753533,200968.862153205002,kucoin_legacy
1788083400,2453.24,2453.91,2453,2453.36,37.3678535,91680.083206263997,kucoin_legacy
1788083700,2453.37,2453.81,2453.37,2453.61,8.5458078,20968.043711376999,kucoin_legacy
1788084000,2453.47,2453.67,2452.78,2452.78,11.5934663,28440.014393060999,kucoin_legacy
1788084300,2452.73,2454.9,2452.72,2454.44,82.1934919,201681.037659240013,kucoin_legacy
1788084600,2454.66,2455.46,2453.56,2453.56,31.2996176,76842.178209741993,kucoin_legacy
1788084900,2453.56,2453.89,2452.46,2453.7,22.4624152,55110.325843712999,kucoin_legacy
1788085200,2453.6,2455.57,2453.6,2455.57,17.6417983,43302.164701002002,kucoin_legacy
1788085500,2455.56,2458.69,2454.79,2455.31,78.6565029,193216.252901950997,kucoin_legacy
1788085800,2455.43,2456.66,2454.98,2455.63,51.53252,126555.508364759997,kucoin_legacy
1788086100,2455.63,2456.5,2455.62,2456.46,13.4041491,32919.256056338003,kucoin_legacy
1788086400,2456.45,2458.09,2456.2,2457.59,33.3671076,81992.600783684,kucoin_legacy
1788086700,2457.59,2459.22,2457.59,2459.21,48.4294697,119056.143335950997,kucoin_legacy
1788087000,2459.2,2459.46,2458.16,2459.05,29.4960618,72527.458991242005,kucoin_legacy
1788087300,2459.04,2459.46,2459.04,2459.36,19.0875872,46942.019502566,kucoin_legacy
1788087600,2459.37,2459.48,2458.16,2458.16,18.4155847,45284.638831976001,kucoin_legacy
1788087900,2458.14,2459.71,2458.08,2459.6,16.5006838,40565.969227287998,kucoin_legacy
1788088200,2459.59,2459.83,2457.93,2458.8,34.4690986,84770.414374846994,kucoin_legacy
1788088500,2458.81,2458.97,2457.85,2458.97,9.3282568,22934.142619735001,kucoin_legacy
1788088800,2458.97,2459.56,2458.54,2459.48,25.2798608,62173.374693897,kucoin_legacy
1788089100,2459.55,2461.43,2459.16,2461.06,54.3914033,133821.029309809004,kucoin_legacy
1788089400,2461.06,2461.11,2459.49,2460.14,15.7644675,38784.656908960002,kucoin_legacy
1788089700,2459.72,2459.72,2457.66,2458.69,36.6666828,90149.433153723003,kucoin_legacy
1788090000,2458.69,2460.58,2458.69,2459.44,24.140666,59385.414136296997,kucoin_legacy
1788090300,2459.44,2459.93,2458.29,2458.3,10.482741,25778.421533035998,kucoin_legacy
1788090600,2458.3,2458.3,2456.53,2457.83,23.130462,56832.362595154998,kucoin_legacy
1788090900,2457.83,2460.06,2457.78,2459.93,7.3096682,17976.119332363,kucoin_legacy
1788091200,2459.93,2463.5,2459.86,2463.5,56.567023,139277.601861314004,kucoin_legacy
1788091500,2463.5,2470.12,2463.5,2470.12,288.8382418,712693.06676121999,kucoin_legacy
1788091800,2469.94,2473.47,2467.84,2470.02,130.4880138,322289.720217516995,kucoin_legacy
1788092100,2470.1,2470.1,2465.15,2465.49,87.6983642,216364.455684899993,kucoin_legacy
1788092400,2465.49,2467.32,2464.1,2464.76,63.6004755,156817.00574164401,kucoin_legacy
1788092700,2464.79,2465.77,2462.43,2465.77,51.8369665,127721.170291670001,kucoin_legacy
1788093000,2466.03,2466.97,2458.41,2459.81,180.09770965,443844.899617002986,kucoin_legacy
1788093300,2460.35,2463.58,2458.74,2463.57,98.7575475,243043.399246860004,kucoin_legacy
1788093600,2463.58,2466.17,2462.21,2464.43,98.2892213,242203.981657964992,kucoin_legacy
1788093900,2464.43,2465.13,2463.12,2464.88,28.7448226,70828.879285666,kucoin_legacy
1788094200,2464.88,2465.44,2462.76,2464.81,55.8900933,137727.928048831003,kucoin_legacy
1788094500,2464.64,2469.2,2464.51,2469.2,137.4074112,339042.279641970003,kucoin_legacy
1788094800,2469.35,2470.05,2466.26,2469.11,92.3657033,227981.441762731993,kucoin_legacy
1788095100,2468.94,2468.94,2464.21,2464.21,75.0444341,185106.315454294003,kucoin_legacy
1788095400,2464.08,2464.91,2461.54,2461.59,95.2610503,234709.680275107996,kucoin_legacy
1788095700,2461.59,2463.91,2460.77,2463.91,106.1399695,261339.376163576002,kucoin_legacy
1788096000,2464.1,2466.57,2464.1,2466.57,36.3644561,89645.332185146006,kucoin_legacy
1788096300,2466.9,2466.91,2465.46,2466.61,15.0590546,37136.404506858999,kucoin_legacy
1788096600,2466.61,2467.95,2465.27,2466.96,217.2266389,535865.840579879005,kucoin_legacy
1788096900,2467.29,2468.66,2466.01,2467.85,59.02187,145644.486070193001,kucoin_legacy
1788097200,2467.85,2471.57,2467.52,2470,56.8072564,140271.469610528991,kucoin_legacy
1788097500,2469.99,2478.53,2469.99,2474.92,160.5636519,397304.141434547026,kucoin_legacy
1788097800,2475.13,2475.29,2472.3,2474.41,164.5731821,407098.566119709983,kucoin_legacy
1788098100,2474.4,2477.35,2473.7,2475.01,94.5136527,233982.690249912994,kucoin_legacy
1788098400,2475,2475.82,2472.97,2473.74,56.0192661,138601.121136509988,kucoin_legacy
1788098700,2473.74,2475.33,2470.45,2475.25,115.4229691,285525.645056947018,kucoin_legacy
1788099000,2475.24,2479.03,2474.16,2478.47,138.3872324,342670.541723956994,kucoin_legacy
1788099300,2478.46,2479.14,2474.92,2474.92,45.8337342,113527.883287175995,kucoin_legacy
1788099600,2474.75,2476.25,2474.74,2476.24,50.9944097,126230.813824622004,kucoin_legacy
1788099900,2476.24,2477.56,2475.28,2476.61,30.6184783,75825.586672470003,kucoin_legacy
1788100200,2476.61,2479.2,2476.08,2476.09,60.8853209,150829.348749956,kucoin_legacy
1788100500,2475.9,2476.23,2473.16,2474.03,99.9276699,247316.269844213995,kucoin_legacy
1788100800,2474.33,2475.77,2474.33,2475.36,34.0147449,84206.850589081994,kucoin_legacy
1788101100,2475.35,2476.81,2474.11,2475.55,23.4866485,58141.343043464003,kucoin_legacy
1788101400,2475.55,2477.94,2475.49,2477.94,12.8933608,31929.746135019999,kucoin_legacy
1788101700,2478.15,2478.15,2475.75,2476.66,22.5793633,55938.876727183,kucoin_legacy
1788102000,2476.88,2477.52,2474.77,2474.96,130.1477498,322295.238347202016,kucoin_legacy
1788102300,2474.97,2481.69,2474.97,2477.17,62.1932277,154151.818381621997,kucoin_legacy
1788102600,2477.06,2477.87,2472.62,2473.46,97.8615462,242195.141932453,kucoin_legacy
1788102900,2473.33,2477.52,2471.88,2475.44,73.5157544,181943.348478464002,kucoin_legacy
1788103200,2475.45,2477.86,2475.45,2477.86,82.6499765,204743.820333537995,kucoin_legacy
1788103500,2478.12,2479.86,2476.8,2477.47,69.255079,171637.746121687,kucoin_legacy
1788103800,2477.48,2479.67,2477.48,2477.76,53.5305387,132699.462379943987,kucoin_legacy
1788104100,2477.76,2478.24,2476.44,2477.7,20.7198063,51337.802388830001,kucoin_legacy
